Longitude,Latitude,PD_DESC
-73.93858143,40.81974139,"MARIJUANA, POSSESSION 4 & 5"
-73.92012953,40.69982865,"MARIJUANA, POSSESSION 4 & 5"
-73.86534635,40.75580913,"MARIJUANA, POSSESSION 4 & 5"
-73.93284095,40.66531301,"MARIJUANA, POSSESSION 4 & 5"
-73.88641487,40.66478796,"MARIJUANA, POSSESSION 4 & 5"
-73.86789492,40.82665092,"MARIJUANA, POSSESSION 4 & 5"
-73.79821496,40.67910463,"MARIJUANA, POSSESSION 4 & 5"
-73.93421097,40.59559339,"MARIJUANA, POSSESSION 4 & 5"
-73.91859995,40.70019263,"MARIJUANA, SALE 4 & 5"
-73.93003877,40.83507126,"MARIJUANA, POSSESSION 4 & 5"
-74.01230103,40.64995569,"MARIJUANA, POSSESSION 4 & 5"
-73.93460435,40.69763374,"MARIJUANA, POSSESSION 4 & 5"
-73.91608758,40.82807391,"MARIJUANA, POSSESSION 4 & 5"
-73.80635687,40.74205893,"MARIJUANA, POSSESSION 4 & 5"
-73.96595952,40.800106,"MARIJUANA, POSSESSION 4 & 5"
-73.73633944,40.72124359,"MARIJUANA, POSSESSION 4 & 5"
-73.86789492,40.82665092,"MARIJUANA, POSSESSION 4 & 5"
-73.90937635,40.84484177,"MARIJUANA, SALE 4 & 5"
-73.95694205,40.66951308,"MARIJUANA, POSSESSION 4 & 5"
-73.90648926,40.68746965,"MARIJUANA, POSSESSION 4 & 5"
-73.9213783,40.86111843,"MARIJUANA, POSSESSION 4 & 5"
-74.09703788,40.57446371,"MARIJUANA, POSSESSION 4 & 5"
-74.14003388,40.63696235,"MARIJUANA, POSSESSION 4 & 5"
-73.9039135,40.67330998,"MARIJUANA, POSSESSION 4 & 5"
-73.9693386,40.80366137,"MARIJUANA, POSSESSION 4 & 5"
-73.99635737,40.72856377,"MARIJUANA, POSSESSION 4 & 5"
-73.85526919,40.74394781,"MARIJUANA, SALE 4 & 5"
-73.87962071,40.82234083,"MARIJUANA, POSSESSION 4 & 5"
-73.90880353,40.83557792,"MARIJUANA, POSSESSION 4 & 5"
-73.94110929,40.80069433,"MARIJUANA, POSSESSION 4 & 5"
